name,age,educational level,number of not paid past credits,dependents,profession,working sector,monthly income,monthly expenditure,savings (debt),debt-to-income ratio before credit,credit: monthly amount,credit-to-income ratio,type of credit,requested_loan_duration,debt-to-income ratio after credit,collateral,estimated seizable assets,y-categorical-default,PD_LR,PD_NN,PD_RF
name0,47,high school or lower,0,1,LowSkilled,Manufacturing,1810.0,1648.9827980862651,161.01720191373488,0.0,1774.9327401245164,0.864299545253844,mortgages,60,0.8916660432103766,10171,13404.16085129531,1,0.4140485194972213,0.49468136,0.52
name1,35,high school or lower,0,0,LowSkilled,Construction,1050.0,792.6679501478579,257.33204985214206,0.0,540.5997887778856,0.4820455458159989,simple loans,36,0.2697787989768986,15442,14568.745319565058,0,0.1401364464116819,0.10618932,0.07
name2,33,high school or lower,0,0,LowSkilled,Manufacturing,967.0,654.1348376854947,312.86516231450526,0.0,303.5565298101628,0.8439495245779516,simple loans,24,0.0,24978,25229.340980180245,1,0.4672821797737295,0.7297103,0.88
name3,38,high school or lower,1,0,LowSkilled,Agriculture,1527.0,666.4033905606146,860.5966094393854,0.0,926.159264587919,0.8925123395435485,mortgages,12,0.0429355960370226,24062,26568.20837418381,0,0.5880965502697929,0.66427684,0.52
name4,59,bachelor degree,1,0,HighSkilled,Engineering,13540.0,2864.746601917439,10675.25339808256,0.0,10928.281023374931,0.8245899119294686,auto loans,24,0.0186874169344439,65608,117097.75248204566,0,0.40733748570414624,0.43594742,0.15
name5,32,post graduate degree,1,0,HighSkilled,Engineering,2477.0,4541.563964205669,-2064.563964205669,0.8334937279796808,1579.2915087231052,0.7405946109210659,auto loans,36,1.4710760891920769,48335,45475.55731862321,0,0.6499403305690011,0.7400919,0.26
name6,36,high school or lower,1,1,LowSkilled,Cleaning Services,1308.0,1712.768911357733,-404.768911357733,0.3094563542490314,1263.377258982512,0.790506657564866,simple loans,48,1.2753411088228173,0,1539.361630831973,1,0.7599807514605035,0.78700036,0.85
name7,42,bachelor degree,1,0,HighSkilled,Research,5559.0,5312.640443107085,246.35955689291492,0.0,3114.3100663118257,0.6036756949663493,simple loans,48,0.5159112267348284,76108,82934.18287370919,0,0.5343624312552925,0.44826007,0.38
name8,60,post graduate degree,1,0,HighSkilled,Finance,4500.0,7418.980836748458,-2918.9808367484584,0.648662408166324,3443.8753323054657,0.4972225021335716,auto loans,24,1.4139680375675387,79001,98989.61730735996,1,0.5150874713041718,0.5725358,0.82
name9,35,ausbildung,0,1,MediumSkilled,Artist,1703.0,1269.7755735340415,433.22442646595846,0.0,1234.425371190016,0.8833446682084737,simple loans,36,0.4704644419988594,0,3561.622759949444,1,0.5587495172044603,0.46794185,0.39
